"PRICE TYPE","DATE","PERIOD","PRICE ($/MWh)","DEMAND (MW)"
"USEP","01 Mar 2009","1","76.64","3708.152"
"USEP","01 Mar 2009","2","76.20","3629.859"
"USEP","01 Mar 2009","3","73.51","3513.318"
"USEP","01 Mar 2009","4","73.37","3460.790"
"USEP","01 Mar 2009","5","71.06","3404.907"
"USEP","01 Mar 2009","6","70.35","3364.357"
"USEP","01 Mar 2009","7","65.77","3329.284"
"USEP","01 Mar 2009","8","64.30","3311.337"
"USEP","01 Mar 2009","9","64.29","3294.116"
"USEP","01 Mar 2009","10","64.26","3274.708"
"USEP","01 Mar 2009","11","64.29","3291.556"
"USEP","01 Mar 2009","12","65.21","3321.267"
"USEP","01 Mar 2009","13","67.74","3361.057"
"USEP","01 Mar 2009","14","70.35","3372.528"
"USEP","01 Mar 2009","15","70.35","3376.643"
"USEP","01 Mar 2009","16","70.49","3452.281"
"USEP","01 Mar 2009","17","73.56","3587.957"
"USEP","01 Mar 2009","18","76.61","3701.248"
"USEP","01 Mar 2009","19","80.83","3766.211"
"USEP","01 Mar 2009","20","90.99","3866.526"
"USEP","01 Mar 2009","21","76.17","3942.358"
"USEP","01 Mar 2009","22","77.45","3998.281"
"USEP","01 Mar 2009","23","78.80","4013.643"
"USEP","01 Mar 2009","24","78.21","4000.815"
"USEP","01 Mar 2009","25","76.66","3991.770"
"USEP","01 Mar 2009","26","78.80","4011.883"
"USEP","01 Mar 2009","27","78.80","4011.357"
"USEP","01 Mar 2009","28","78.23","4005.721"
"USEP","01 Mar 2009","29","77.46","4000.080"
"USEP","01 Mar 2009","30","76.66","3977.913"
"USEP","01 Mar 2009","31","76.66","3985.359"
"USEP","01 Mar 2009","32","80.66","4050.605"
"USEP","01 Mar 2009","33","79.52","4023.628"
"USEP","01 Mar 2009","34","76.17","3946.702"
"USEP","01 Mar 2009","35","73.60","3924.078"
"USEP","01 Mar 2009","36","76.17","3948.973"
"USEP","01 Mar 2009","37","78.81","4009.985"
"USEP","01 Mar 2009","38","86.35","4113.291"
"USEP","01 Mar 2009","39","90.82","4206.041"
"USEP","01 Mar 2009","40","96.63","4246.766"
"USEP","01 Mar 2009","41","95.18","4239.037"
